实例ID,内部回复数,内部转发数,内部点赞数,内部互动总数,跨实例主动回复数,跨实例主动转发数,跨实例主动点赞数,跨实例主动互动总数,跨实例被动回复数,跨实例被动转发数,跨实例被动点赞数,跨实例被动互动总数,跨实例总互动数
fedi.gremlin.work,0,0,0,0,0,0,4,4,0,0,0,0,4
mastodon.infodocs.eu,0,2,0,2,0,0,0,0,0,0,0,0,0
mastodon.mnetwork.co.kr,0,0,0,0,0,0,6,6,0,0,0,0,6
musicians.today,8,5,6,19,0,285,769,1054,0,22,33,55,1109
echoes.stolen.day,0,0,0,0,0,2,2,4,0,0,0,0,4
baram.me,0,0,0,0,0,2,9,11,0,0,3,3,14
super-gay.co,1,0,4,5,0,139,297,436,0,7,35,42,478
social.anufrij.de,1,0,2,3,0,1,379,380,0,9,29,38,418
social.cthululemon.com,0,0,0,0,0,4,146,150,0,5,28,33,183
mastodon.grin.hu,0,0,0,0,0,1,1,2,0,0,4,4,6
gultsch.social,0,0,0,0,0,0,1,1,1,8,38,47,48
mastodon.knight.fyi,0,0,0,0,0,2,8,10,0,0,0,0,10
mast.linuxgamecast.com,0,0,0,0,0,15,45,60,0,0,3,3,63
fedi.kemonomimi.gay,0,0,0,0,0,12,7,19,0,0,0,0,19
loli.rodeo,0,0,0,0,0,0,1,1,1,0,0,1,2
social.macer.life,0,0,0,0,0,0,1,1,0,2,2,4,5
ponysocial.ru,0,0,0,0,0,0,0,0,0,1,2,3,3
nolineage.com,0,0,0,0,0,1,7,8,0,0,0,0,8
mastodon.thentrythis.org,1,0,0,1,0,0,0,0,0,8,21,29,29
m6n.io,0,0,0,0,0,29,107,136,0,0,3,3,139
blat.at,0,0,0,0,0,3,0,3,0,0,12,12,15
jillr.social,0,0,0,0,0,0,1,1,0,0,0,0,1
babyfurs.social,0,1,1,2,0,0,9,9,0,1,9,10,19
andalucia.social,0,0,0,0,0,1,0,1,0,1,0,1,2
otogamer.me,12,5,347,364,0,3,1,4,0,1,10,11,15
tabletop.vip,0,0,0,0,0,26,45,71,0,7,5,12,83
social.catastrophic.horse,0,0,0,0,0,2,6,8,0,0,0,0,8
soc.zom.bi,0,0,0,0,0,3,1,4,0,0,0,0,4
togl.me,0,0,0,0,0,0,2,2,0,0,3,3,5
inne.city,0,0,0,0,2,11,5,18,0,0,1,1,19
social.matteojoliveau.com,0,0,0,0,0,4,5,9,0,0,0,0,9
social.rook-queen.com,1,0,0,1,0,15,21,36,0,0,0,0,36
brain.worm.pink,128,55,323,506,161,128,401,690,48,0,632,680,1370
foto.libre.bzh,0,0,0,0,0,0,17,17,0,0,0,0,17
mastodon.nebulon.de,0,0,0,0,0,0,1,1,0,0,0,0,1
axfedi.derg.rest,0,0,0,0,0,1,0,1,0,0,0,0,1
fed.bajsicki.com,0,0,0,0,0,3,0,3,0,0,0,0,3
aelf.ee,0,0,0,0,0,0,164,164,0,0,0,0,164
h-net.social,0,0,1,1,0,46,102,148,0,9,1,10,158
pouet.space,0,2,2,4,0,0,1,1,0,0,0,0,1
mastodon.pub.solar,0,0,0,0,0,34,55,89,0,1,4,5,94
toot.now,0,0,0,0,0,3,9,12,0,0,0,0,12
chatsubo.bar,0,0,0,0,0,0,0,0,0,0,2,2,2
social.datarek.nl,0,0,0,0,0,1,0,1,0,0,0,0,1
gnusocial.net,0,0,0,0,0,10,2,12,0,0,0,0,12
soccer.forum,0,0,0,0,0,1,0,1,0,0,0,0,1
loves.tech,0,0,0,0,0,7,104,111,0,0,0,0,111
noot.pingu4.me,0,0,4,4,0,0,9,9,0,0,0,0,9
gts.joby.lol,0,0,0,0,0,14,48,62,0,0,0,0,62
makai.chaotic.ninja,0,0,0,0,0,12,12,24,0,0,0,0,24
konbini.social,0,0,3,3,0,2,0,2,0,0,2,2,4
b68web.xyz,0,0,0,0,0,0,0,0,0,0,1,1,1
s.mysw.moe,0,0,0,0,0,25,26,51,0,1,0,1,52
loma.ml,1,0,1,2,1,539,492,1032,2,0,3,5,1037
