发起实例,目标实例,互动次数
newsmast.community,mastodon.crazynewworld.net,22
thoughtbot.social,ruby.social,3
ruby.social,ruby.social,30
newsmast.community,ruby.social,12
thecanadian.social,thecanadian.social,18
equestria.social,equestria.social,11
hooves.social,equestria.social,7
mastodon.world,sigmoid.social,3
astrodon.social,astrodon.social,2
newsmast.community,astrodon.social,2
social.noleron.com,twiukraine.com,2
fediscience.org,biologists.social,2
mastodon.social,zpravobot.news,1
beige.party,comicscamp.club,1
newsmast.community,weird.autos,10
weird.autos,weird.autos,20
twoot.site,twoot.site,5
vkl.world,vkl.world,5
101010.pl,society.oftrolls.com,2
mastodon.social,t.chadole.com,1
qdon.space,t.chadole.com,1
buttersc.one,t.chadole.com,1
planet.moe,t.chadole.com,3
iqhina.org,t.chadole.com,1
t.chadole.com,t.chadole.com,1
newsmast.community,deacon.social,2
antabaka.me,woof.tech,1
social.treehouse.systems,mastodon.redgarterclub.com,1
kolektiva.social,mastodon.redgarterclub.com,4
mastodon.redgarterclub.com,mastodon.redgarterclub.com,2
spectreofcommunism.boo,mastodon.redgarterclub.com,1
disabled.social,mastodon.redgarterclub.com,2
union.place,mastodon.redgarterclub.com,1
mastodon.social,mastodon.redgarterclub.com,1
mindly.social,mastodon.redgarterclub.com,2
hellspawn.gay,mastodon.redgarterclub.com,1
a.gup.pe,mastodon.redgarterclub.com,2
social.petertoushkov.eu,f.cz,1
kurage.cc,kurage.cc,1
zhub.link,dindon.one,1
mastodon.social,dindon.one,1
aus.social,hugz.online,6
det.social,caneandable.social,2
mastodon.berlin,skeptics.social,1
fedisabled.social,skeptics.social,1
mastodon.social,unbound.social,1
mas.to,red.niboe.info,1
tech.lgbt,social.nekover.se,1
nnia.space,paravielfalt.zone,2
hessen.social,burningboard.net,1
det.social,burningboard.net,1
norden.social,reporter.social,3
astrodon.social,reporter.social,1
hessen.social,reporter.social,1
reporter.social,reporter.social,2
mastodon.social,reporter.social,12
social.tchncs.de,reporter.social,8
det.social,reporter.social,1
troet.cafe,reporter.social,11
berlin.social,reporter.social,1
chaos.social,reporter.social,5
discordian.social,reporter.social,1
mastodon.xyz,reporter.social,2
layer8.space,reporter.social,1
gruene.social,reporter.social,1
nfdi.social,reporter.social,1
mastodon.green,reporter.social,1
don.linxx.net,reporter.social,1
hci.social,reporter.social,1
mstdn.social,reporter.social,2
infosec.exchange,reporter.social,1
frankfurt.social,reporter.social,1
bonn.social,reporter.social,2
social.anoxinon.de,reporter.social,1
mstdn.business,reporter.social,1
fedifreu.de,reporter.social,1
fedi.solibre.de,reporter.social,1
mastodon.bayern,reporter.social,1
social.wastedalpaca.wtf,reporter.social,1
mastodon.world,mastodon.akhepcat.com,2
kolektiva.social,mastodon.akhepcat.com,2
troet.cafe,zdf.social,6
norden.social,zdf.social,3
mastodon.social,zdf.social,5
bsky.brid.gy,zdf.social,1
mastodon.online,zdf.social,1
vmst.io,zdf.social,1
masto.ai,zdf.social,1
nrw.social,zdf.social,1
ruhr.social,zdf.social,1
social.vivaldi.net,zdf.social,1
alive.bar,zdf.social,1
bildung.social,zdf.social,1
sphere.fx4.net,sphere.fx4.net,1
discuss.systems,sphere.fx4.net,1
fediverse.pictures,sphere.fx4.net,1
masto.ai,sphere.fx4.net,1
mastodon.social,sphere.fx4.net,1
sunny.garden,sphere.fx4.net,1
newsmast.community,sphere.fx4.net,2
theblower.au,jauntygoat.net,2
jauntygoat.net,jauntygoat.net,1
fosstodon.org,rstats.me,3
newsmast.community,rstats.me,1
mastodon.social,astral.camp,5
mas.to,astral.camp,3
swingset.social,astral.camp,1
med-mastodon.com,astral.camp,1
c.im,astral.camp,1
nrw.social,astral.camp,1
plush.city,astral.camp,1
kolektiva.social,astral.camp,2
mstdn.social,astral.camp,1
goto.coiloptic.org,astral.camp,1
