发起实例,目标实例,互动次数
quokka.city,quokka.city,5565
tech.lgbt,woof.group,9
woof.group,woof.group,302
social.wxcafe.net,woof.group,5
dataare.cool,woof.group,1
mastodon.scot,woof.group,2
blorbo.social,blorbo.social,1036
mstdn.ca,union.place,3
mastodon.online,union.place,5
ruby.social,ruby.social,82
equestria.social,equestria.social,36
hooves.social,equestria.social,17
pony.social,equestria.social,5
chattrbx.com,chattrbx.com,249
federation.network,sigmoid.social,3
mastodon.social,sigmoid.social,12
fosstodon.org,sigmoid.social,2
mastodon.world,sigmoid.social,3
jontka.fi,mementomori.social,3
mastodon.social,mementomori.social,45
mona.do,mona.do,142
stelpolva.moe,mona.do,7
astrodon.social,astrodon.social,2
twiukraine.com,twiukraine.com,28
social.noleron.com,twiukraine.com,7
mastodon.social,biologists.social,5
mastodon.social,kirche.social,3
social.cologne,kirche.social,1
mastodon.social,mastodonsweden.se,14
mastodonsweden.se,mastodonsweden.se,64
mastodon.social,zpravobot.news,1
mona.do,monado.ren,142
stelpolva.moe,monado.ren,7
blahaj.zone,xarxa.cloud,1
col.social,xarxa.cloud,1
social.gorritodeplata.xyz,xarxa.cloud,1
mastodon.social,xarxa.cloud,46
gayfr.social,xarxa.cloud,1
mastodon.social,rheinneckar.social,36
troet.cafe,embassy.social,1
tyrol.social,embassy.social,1
norden.social,embassy.social,6
beige.party,embassy.social,1
mastodon.social,embassy.social,3
allpro.social,allpro.social,76
toots.matapacos.dog,comicscamp.club,2
writeout.ink,comicscamp.club,1
hackers.town,comicscamp.club,2
writing.exchange,comicscamp.club,4
pizza.enby.city,comicscamp.club,1
mstdn.games,comicscamp.club,1
mastodon.nzoss.nz,mastodon.nzoss.nz,2
mastodon.social,weird.autos,21
sfba.social,weird.autos,3
blovice.bahnhof.cz,ak.kawen.space,3
mastodon.social,fulda.social,1
mofmof.coffee,mofmof.coffee,33
polyglot.city,twoot.site,3
anarchism.space,twoot.site,1
twoot.site,twoot.site,23
solarpunk.moe,twoot.site,1
gts.u8.is,twoot.site,2
vkl.world,vkl.world,32
mstdn.omisosiru.net,mstdn.omisosiru.net,1
101010.pl,society.oftrolls.com,2
todon.eu,elle.systems,1
hellsite.site,elle.systems,1
mastodon.lubar.me,elle.systems,1
town.voyager.blue,t.chadole.com,1
serafuku.moe,t.chadole.com,1
maekongtown.xyz,t.chadole.com,1
whitelily.blue,t.chadole.com,1
planet.moe,t.chadole.com,3
iqhina.org,t.chadole.com,1
t.chadole.com,t.chadole.com,1
fosstodon.org,aana.site,2
mastodon.online,deacon.social,1
is-a.cat,donotsta.re,5
infosec.exchange,woof.tech,1
antabaka.me,woof.tech,4
woof.tech,woof.tech,10
mountains.social,mountains.social,17
gts.void.dog,tooting.intensifi.es,1
mastodon.social,mastodon.redgarterclub.com,1
mastodon.redgarterclub.com,mastodon.redgarterclub.com,2
mas.to,f.cz,1
mastodon.social,f.cz,4
f.cz,f.cz,11
cztwitter.cz,f.cz,1
snac.lab8.cz,f.cz,1
