发起实例,目标实例,互动次数
mastodon.social,mastodon.social,19381
fosstodon.org,fosstodon.org,376
spinster.xyz,spinster.xyz,1082
freeatlantis.com,freeatlantis.com,61
social.tchncs.de,social.tchncs.de,186
piaille.fr,piaille.fr,751
elekk.xyz,elekk.xyz,18
gamelinks007.net,gamelinks007.net,6
precure.ml,msk.kitazawa.me,1
mona.do,mona.do,81
spacey.space,spacey.space,6
allpro.social,allpro.social,11
pony.social,pony.social,1
vkl.world,vkl.world,5
mountains.social,mountains.social,2
mastodon.redgarterclub.com,mastodon.redgarterclub.com,2
pleroma.envs.net,alpha.polymaths.social,1
blooming-land.icu,blooming-land.icu,2
tooting.intensifi.es,tooting.intensifi.es,6
syringa.social,syringa.social,1
social.shadowfacts.net,indieweb.social,1
poliverso.org,mastodon.uno,2
bot.swiss.social,bot.swiss.social,1
mastodon.nzoss.nz,mastodon.nzoss.nz,1
indiehackers.social,indiehackers.social,4
kitty.haus,pl.dav1d.xyz,1
borahae.love,borahae.love,2
frogs.lgbt,frogs.lgbt,1
zaidin.lgbt,zaidin.lgbt,2
valenciapa.ws,valenciapa.ws,1
janogdon.net,janogdon.net,1
social.dezinezync.com,social.dezinezync.com,2
social.ookami.space,social.ookami.space,2
loud.computer,loud.computer,2
toot.robzazueta.com,toot.robzazueta.com,2
mastodon.weber.fi.eu.org,mastodon.weber.fi.eu.org,1
phantomthieves.net,phantomthieves.net,1
microbe.vital.org.nz,mastodon.nz,1
hacksrus.xyz,hacksrus.xyz,2
costodon.social,costodon.social,2
friendica.gidikroon.eu,friendica.gidikroon.eu,2
social.middleearth.fr,social.middleearth.fr,1
fediffusion.art,fediffusion.art,1
sogga.top,akko.quad.moe,1
xtaldave.net,xtaldave.net,2
planetrage.social,freeatlantis.com,1
sector25.de,sector25.de,1
aklp.club,mitra.taihou.website,1
akk.fedcast.ch,mastodon.de,1
mastodon.totmin.ru,mastodon.totmin.ru,1
nlogic.systems,bsd.network,1
social.rdl.ph,social.rdl.ph,4
grafana.social,grafana.social,1
wawa-huayuan.blue,wawa-huayuan.blue,3
mastodon.flooey.org,mastodon.flooey.org,1
social.kartoffelcheetah.eu,mk.cpluspatch.com,1
maidsin.space,blob.cat,1
superhappy.social,superhappy.social,1
social.moreati.org.uk,social.moreati.org.uk,1
outmo.de,chaos.social,1
utih.net,lor.sh,1
social.fairphone.community,social.fairphone.community,1
mastodon-blablalinux.be,mastodon-blablalinux.be,1
ezdog.org,ezdog.org,2
social.project-insanity.org,social.project-insanity.org,2
fietser.social,fietser.social,2
fed.sonnenmulde.at,m.ai6yr.org,1
social.abolivier.bzh,social.abolivier.bzh,1
fediverse.omaramin.me,mastodon.social,2
social.yukinobu.jp,social.yukinobu.jp,2
manganiello.social,eupolicy.social,1
mastodon.kkhys.me,mastodon.kkhys.me,3
copland.social,copland.social,1
olifant.fi,olifant.fi,2
social.linux-magazin.de,social.linux-magazin.de,1
m.gravitystorm.co.uk,m.gravitystorm.co.uk,1
chaos-gp.social,chaos-gp.social,1
pleroma.al45tair.net,mastodon.social,1
precise.space,precise.space,1
mast.wangwood.house,mast.wangwood.house,1
satzfetzen.de,photog.social,1
social.zacstraub.com,social.zacstraub.com,1
social.undergroundsche.me,friend.camp,1
mstdn.thymefield.jp,mstdn.thymefield.jp,1
akko.drgn.gay,akko.drgn.gay,1
pleroma.1of444.top,mathstodon.xyz,1
gotf.at,mastodon.art,1
obeya.social,obeya.social,1
post.hecanjog.com,post.hecanjog.com,2
enby.army,infosec.exchange,1
mastodon.abou-samra.fr,mastodon.abou-samra.fr,2
social.3delights.store,social.3delights.store,2
motley.club,motley.club,1
f.lapo.it,mastodon.bsd.cafe,1
friendica.ca,mastodon.social,1
mastodon.scot,mastodon.scot,116
mastodon.gamedev.place,mastodon.gamedev.place,253
mastodon.green,mastodon.green,37
g0v.social,g0v.social,77
wetdry.world,wetdry.world,191
mastodon.nl,mastodon.nl,248
